condition,team_id,mapA_first,Map_order,Anxiety_average,team_score_SaturnA,walk_mean,team_effort_SaturnA,team_effort_SaturnB,team_effort_average,process_skill_use_agg_SatA,process_effort_agg_SatA,score_team_agg_SatB,process_skill_use_agg_SatB,process_effort_agg_SatB,skill_use_average,effort_average,skilluse1_SaturnA,skilluse2_SaturnA,skilluse3_SaturnA,skilluse4_SaturnA,skilluse5_SaturnA,skilluse6_SaturnA,skilluse7_SaturnA,skilluse8_SaturnA,skilluse9_SaturnA,skilluse10_SaturnA,skilluse11_SaturnA,skilluse12_SaturnA,skilluse13_SaturnA,skilluse14_SaturnA,skilluse15_SaturnA,skilluse1_SaturnB,skilluse2_SaturnB,skilluse3_SaturnB,skilluse4_SaturnB,skilluse5_SaturnB,skilluse6_SaturnB,skilluse7_SaturnB,skilluse8_SaturnB,skilluse9_SaturnB,skilluse10_SaturnB,skilluse11_SaturnB,skilluse12_SaturnB,skilluse13_SaturnB,skilluse14_SaturnB,skilluse15_SaturnB,effort1_SaturnA,effort2_SaturnA,effort3_SaturnA,effort4_SaturnA,effort5_SaturnA,effort6_SaturnA,effort7_SaturnA,effort8_SaturnA,effort9_SaturnA,effort10_SaturnA,effort11_SaturnA,effort12_SaturnA,effort13_SaturnA,effort14_SaturnA,effort15_SaturnA,effort1_SaturnB,effort2_SaturnB,effort3_SaturnB,effort4_SaturnB,effort5_SaturnB,effort6_SaturnB,effort7_SaturnB,effort8_SaturnB,effort9_SaturnB,effort10_SaturnB,effort11_SaturnB,effort12_SaturnB,effort13_SaturnB,effort14_SaturnB,effort15_SaturnB,workload_burnt1_SaturnA,workload_burnt2_SaturnA,workload_burnt3_SaturnA,workload_burnt4_SaturnA,workload_burnt5_SaturnA,workload_burnt6_SaturnA,workload_burnt7_SaturnA,workload_burnt8_SaturnA,workload_burnt9_SaturnA,workload_burnt10_SaturnA,workload_burnt11_SaturnA,workload_burnt12_SaturnA,workload_burnt13_SaturnA,workload_burnt14_SaturnA,workload_burnt15_SaturnA,workload_burnt1_SaturnB,workload_burnt2_SaturnB,workload_burnt3_SaturnB,workload_burnt4_SaturnB,workload_burnt5_SaturnB,workload_burnt6_SaturnB,workload_burnt7_SaturnB,workload_burnt8_SaturnB,workload_burnt9_SaturnB,workload_burnt10_SaturnB,workload_burnt11_SaturnB,workload_burnt12_SaturnB,workload_burnt13_SaturnB,workload_burnt14_SaturnB,workload_burnt15_SaturnB
1,TM000158,0,2,1.6667,350,0.43,9912.105915,9369.981023,9641.043469,0.394505495,0.834798535,310,0.417035398,0.829277286,0.405770447,0.834798535,0.03956044,0.084615385,0.118315018,0.140659341,0.165201465,0.175824176,0.187545788,0.211721612,0.236630037,0.25970696,0.272527473,0.286813187,0.323809524,0.383882784,0.394505495,0.030973451,0.071165192,0.112831858,0.140486726,0.151548673,0.182890855,0.20280236,0.248156342,0.262536873,0.294616519,0.323377581,0.347713864,0.36320059,0.387168142,0.417035398,0.061172161,0.117582418,0.178021978,0.241025641,0.296336996,0.332967033,0.378388278,0.431868132,0.487179487,0.548717949,0.595238095,0.640659341,0.705494505,0.773260073,0.834798535,0.058628319,0.114675516,0.170722714,0.227507375,0.269542773,0.324852507,0.387905605,0.449483776,0.509587021,0.571533923,0.634218289,0.684365782,0.717182891,0.772123894,0.829277286,0.0786,0.1604,0.2377,0.2669,0.2897,0.3027,0.3131,0.3531,0.3948,0.4229,0.4439,0.4711,0.5583,0.7334,0.7561,0.0432,0.1088,0.187,0.2317,0.2417,0.2931,0.3275,0.4031,0.4307,0.4896,0.5254,0.5325,0.5639,0.6178,0.6784
1,TM000155,1,1,1.25,350,0.49,8525.978931,7469.881384,7997.930158,0.354957612,0.802064136,440,0.343773029,0.808769344,0.349365321,0.802064136,0.042757095,0.080353852,0.100995208,0.147069665,0.175082934,0.200147438,0.228529303,0.257279764,0.286030225,0.308883155,0.328050129,0.335422042,0.340213785,0.343531146,0.354957612,0.030582167,0.070744289,0.103905674,0.1366986,0.15917465,0.197862933,0.234340457,0.257553427,0.274871039,0.292925571,0.305084746,0.312822402,0.323139278,0.335298452,0.343773029,0.062661261,0.107998526,0.148175452,0.209730925,0.266863251,0.317729451,0.369332842,0.428308146,0.490232215,0.549576115,0.593438997,0.646148175,0.703649097,0.752672318,0.802064136,0.053426676,0.104274134,0.153279293,0.198968312,0.260132646,0.314296242,0.368091378,0.424834193,0.484524687,0.538319823,0.592851879,0.646278556,0.701915991,0.759395726,0.808769344,0.1144,0.2154,0.2371,0.322,0.3788,0.4094,0.4476,0.4979,0.5736,0.6222,0.6683,0.6715,0.6733,0.6754,0.7013,0.0932,0.1904,0.2646,0.3274,0.372,0.467,0.5427,0.5753,0.6046,0.6388,0.6633,0.681,0.7016,0.7211,0.7306
1,TM000109,1,1,1.9167,330,0.49,8164.339321,8854.258152,8509.298737,0.348451327,0.839233038,340,0.397714707,0.833394766,0.373083017,0.839233038,0.037241888,0.08259587,0.105088496,0.142330383,0.151917404,0.186946903,0.226032448,0.251843658,0.26179941,0.277654867,0.285766962,0.294247788,0.318215339,0.331489676,0.348451327,0.03133063,0.075193513,0.115739034,0.145226686,0.175082934,0.196830077,0.239218577,0.250645042,0.266494655,0.284187247,0.309988942,0.330261703,0.34832289,0.376704755,0.397714707,0.060840708,0.114675516,0.162241888,0.221238938,0.264011799,0.324115044,0.382374631,0.445427729,0.499631268,0.560471976,0.618731563,0.670353982,0.726032448,0.779867257,0.839233038,0.0508662,0.10762993,0.164025065,0.223368964,0.283450055,0.344268338,0.398083303,0.440103207,0.489495024,0.530777737,0.594176189,0.657206045,0.718392923,0.775893844,0.833394766,0.0913,0.1669,0.2071,0.2793,0.2835,0.3576,0.4354,0.4767,0.4927,0.5228,0.5311,0.5375,0.5709,0.5866,0.6301,0.0648,0.1431,0.2063,0.252,0.3266,0.3641,0.4395,0.4643,0.4857,0.5148,0.5644,0.6196,0.6693,0.7376,0.7941
2,TM000131,0,2,1.4167,360,0.44,9392.512986,9062.383043,9227.448015,0.297935103,0.813421829,440,0.406710914,0.869469027,0.352323009,0.813421829,0.035766962,0.074852507,0.099926254,0.115044248,0.144174041,0.17920354,0.197640118,0.202433628,0.223082596,0.230088496,0.233038348,0.254056047,0.264749263,0.284292035,0.297935103,0.036504425,0.060840708,0.08480826,0.109513274,0.139011799,0.164085546,0.203539823,0.233038348,0.2570059,0.278023599,0.293879056,0.318584071,0.344764012,0.378687316,0.406710914,0.063421829,0.123893805,0.184365782,0.239306785,0.297935103,0.359144543,0.406710914,0.432153392,0.480825959,0.540929204,0.585176991,0.647492625,0.711283186,0.756268437,0.813421829,0.061578171,0.119469027,0.179941003,0.23119469,0.287979351,0.345132743,0.406710914,0.461283186,0.510324484,0.567109145,0.620575221,0.686946903,0.749631268,0.806784661,0.869469027,0.0895,0.1832,0.2243,0.2565,0.3282,0.4168,0.4536,0.4674,0.515,0.5314,0.5314,0.5778,0.5894,0.6366,0.6653,0.0713,0.1086,0.1575,0.2037,0.279,0.3123,0.378,0.4264,0.4501,0.4871,0.5153,0.5824,0.6238,0.6955,0.7461
1,TM000115,1,1,2.1667,370,0.45,8726.446968,8935.547473,8830.997221,0.355825959,0.84439528,460,0.387536873,0.881637168,0.371681416,0.84439528,0.031342183,0.064528024,0.111725664,0.141224189,0.169985251,0.208333333,0.23820059,0.265855457,0.273967552,0.283923304,0.295722714,0.301622419,0.32079646,0.337389381,0.355825959,0.026917404,0.059365782,0.087020649,0.125,0.146386431,0.175516224,0.212020649,0.237463127,0.252581121,0.273967552,0.287241888,0.305309735,0.333702065,0.361725664,0.387536873,0.060103245,0.119837758,0.177359882,0.232669617,0.293510324,0.354719764,0.411135693,0.470501475,0.532079646,0.588864307,0.642330383,0.707964602,0.761061947,0.800147493,0.84439528,0.054572271,0.115412979,0.175147493,0.237094395,0.293510324,0.348451327,0.407079646,0.467551622,0.523967552,0.584070796,0.646386431,0.703539823,0.762536873,0.814159292,0.881637168,0.0643,0.1262,0.2044,0.2629,0.3117,0.3858,0.4464,0.4912,0.5061,0.5244,0.5359,0.5377,0.5711,0.6039,0.6329,0.0537,0.1282,0.1739,0.2393,0.2942,0.3521,0.424,0.4702,0.4929,0.5495,0.5751,0.619,0.6778,0.7246,0.7661
1,TM000118,1,1,1.25,350,0.42,8381.29769,8328.356565,8354.827128,0.370575221,0.840707965,560,0.387702504,0.858247423,0.379138863,0.840707965,0.021386431,0.060840708,0.087758112,0.120575221,0.149336283,0.170353982,0.19579646,0.212758112,0.228982301,0.242256637,0.262905605,0.287979351,0.30199115,0.337389381,0.370575221,0.026877761,0.061119293,0.084683358,0.10640648,0.117820324,0.144698085,0.167525773,0.196244477,0.219808542,0.246686303,0.25736377,0.288291605,0.305596465,0.348674521,0.387702504,0.048672566,0.10140118,0.158185841,0.213864307,0.269542773,0.325589971,0.3820059,0.434734513,0.490044248,0.546091445,0.60140118,0.658923304,0.71939528,0.779867257,0.840707965,0.061487482,0.114506627,0.165684831,0.223122239,0.265832106,0.325846834,0.385493373,0.444771723,0.505154639,0.567010309,0.622606775,0.673784978,0.734167894,0.79712813,0.858247423,0.0439,0.1096,0.161,0.2173,0.275,0.2924,0.3428,0.3793,0.406,0.4284,0.4656,0.5092,0.5232,0.5822,0.6285,0.058,0.129,0.1813,0.2193,0.241,0.3087,0.3475,0.4047,0.449,0.4915,0.4993,0.5508,0.5744,0.6804,0.7672
2,TM000103,1,1,2,330,0.5,8988.469263,9020.410388,9004.439826,0.411721342,0.852930335,390,0.354458364,0.893146647,0.383089853,0.852930335,0.034279396,0.08809436,0.13048286,0.171028382,0.208256543,0.245853299,0.275709547,0.315517877,0.326207151,0.341319572,0.361223738,0.369701438,0.387762624,0.398451898,0.411721342,0.029476787,0.06890199,0.106853353,0.135224761,0.161753869,0.175386883,0.208916728,0.2266028,0.241341194,0.257184967,0.285924834,0.291451732,0.301031688,0.323507738,0.354458364,0.057132326,0.117582013,0.177663104,0.232583856,0.274235164,0.326207151,0.38555105,0.448212311,0.502764467,0.561371176,0.621820863,0.686693697,0.748986362,0.80169554,0.852930335,0.052321297,0.107958732,0.166912307,0.22807664,0.287767133,0.351142225,0.413411938,0.471997052,0.532792926,0.592114959,0.649594694,0.709285188,0.765291083,0.828297716,0.893146647,0.0808,0.1987,0.2729,0.332,0.3465,0.3871,0.4382,0.5277,0.5512,0.579,0.616,0.6345,0.6602,0.6813,0.696,0.0817,0.1621,0.2172,0.2404,0.2681,0.2871,0.3647,0.413,0.4433,0.4799,0.5456,0.5537,0.5703,0.6103,0.6939
1,TM000132,1,1,2.3333,380,0.49,6358.555483,8238.256059,7298.405771,0.341445428,0.702433628,410,0.364306785,0.835176991,0.352876107,0.702433628,0.022123894,0.065634218,0.088864307,0.107300885,0.121681416,0.144542773,0.174410029,0.213495575,0.252581121,0.266961652,0.275442478,0.293141593,0.315265487,0.324115044,0.341445428,0.012168142,0.043510324,0.076696165,0.119469027,0.157448378,0.192477876,0.220501475,0.244100295,0.264749263,0.283923304,0.293141593,0.303466077,0.311578171,0.329646018,0.364306785,0.053097345,0.105088496,0.151548673,0.194321534,0.231932153,0.269911504,0.310840708,0.369837758,0.430309735,0.470870206,0.514749263,0.546460177,0.598820059,0.64859882,0.702433628,0.043141593,0.091445428,0.140855457,0.197640118,0.250737463,0.306047198,0.366150442,0.426622419,0.485619469,0.544985251,0.605088496,0.654867257,0.703539823,0.765486726,0.835176991,0.0479,0.1528,0.189,0.2401,0.2574,0.2827,0.3474,0.4091,0.5055,0.5283,0.5411,0.5735,0.6153,0.628,0.6643,0.0212,0.0777,0.1351,0.2267,0.2853,0.3398,0.393,0.4441,0.4836,0.5205,0.5428,0.5722,0.5905,0.6289,0.7237
2,TM000116,0,2,1.8333,440,0.46,9150.785063,8660.13326,8905.459162,0.386061947,0.890117994,360,0.455014749,0.818952802,0.420538348,0.890117994,0.029498525,0.062684366,0.094764012,0.124631268,0.156710914,0.196533923,0.215339233,0.2429941,0.266961652,0.283185841,0.300516224,0.319690265,0.330752212,0.365412979,0.386061947,0.03060472,0.075221239,0.112463127,0.15560472,0.189528024,0.228244838,0.252581121,0.279498525,0.306047198,0.335176991,0.359882006,0.37979351,0.397861357,0.417035398,0.455014749,0.061578171,0.125,0.18399705,0.242625369,0.296091445,0.353244838,0.408554572,0.472345133,0.530235988,0.583702065,0.64380531,0.706489676,0.762168142,0.822271386,0.890117994,0.055678466,0.11320059,0.170353982,0.230088496,0.280235988,0.334070796,0.397123894,0.449115044,0.487463127,0.542035398,0.582227139,0.638643068,0.693584071,0.753318584,0.818952802,0.0606,0.1447,0.2116,0.2665,0.3234,0.3994,0.4313,0.4769,0.5186,0.5548,0.5922,0.6336,0.6492,0.7098,0.7446,0.0677,0.1445,0.1784,0.2336,0.2586,0.3039,0.3546,0.397,0.3983,0.4404,0.4607,0.4947,0.527,0.563,0.641
2,TM000141,0,2,1.5833,510,0.41,8670.861182,9396.873375,9033.867279,0.393067847,0.821165192,360,0.355457227,0.829646018,0.374262537,0.821165192,0.034660767,0.05420354,0.074852507,0.090707965,0.130162242,0.15339233,0.177359882,0.205383481,0.223451327,0.244100295,0.275442478,0.300516224,0.333702065,0.353982301,0.393067847,0.029129794,0.065265487,0.095870206,0.121312684,0.154129794,0.189159292,0.216445428,0.23820059,0.252949853,0.259955752,0.285029499,0.298672566,0.315265487,0.336651917,0.355457227,0.05899705,0.103982301,0.156710914,0.210914454,0.266961652,0.322271386,0.375,0.432522124,0.485988201,0.537610619,0.59660767,0.657448378,0.71460177,0.762905605,0.821165192,0.057522124,0.114306785,0.167772861,0.216814159,0.276548673,0.331858407,0.392699115,0.452064897,0.501474926,0.548672566,0.603982301,0.661135693,0.71460177,0.765117994,0.829646018,0.0896,0.113,0.15,0.1739,0.2333,0.2725,0.3328,0.3898,0.415,0.4629,0.5224,0.5673,0.6399,0.6727,0.7514,0.0511,0.1144,0.1773,0.2249,0.2839,0.3472,0.3974,0.429,0.4487,0.4663,0.4805,0.5032,0.5397,0.5987,0.6322
1,TM000108,1,1,1.75,270,0.44,9611.790114,7329.136218,8470.463166,0.390486726,0.85619469,480,0.372787611,0.837758112,0.381637169,0.85619469,0.026548673,0.072271386,0.104351032,0.121681416,0.157079646,0.185471976,0.205014749,0.229351032,0.256268437,0.27839233,0.291666667,0.309734513,0.338864307,0.363569322,0.390486726,0.022861357,0.047566372,0.070058997,0.096238938,0.120575221,0.14380531,0.157817109,0.178834808,0.206858407,0.228982301,0.267699115,0.310840708,0.338126844,0.358038348,0.372787611,0.056784661,0.112831858,0.161504425,0.203539823,0.251843658,0.31379056,0.378318584,0.441740413,0.5,0.560471976,0.615781711,0.666297935,0.72640118,0.787610619,0.85619469,0.058259587,0.105088496,0.158185841,0.212758112,0.26659292,0.326327434,0.369469027,0.428097345,0.483038348,0.540560472,0.601032448,0.662610619,0.714970501,0.776179941,0.837758112,0.0529,0.1433,0.2113,0.2289,0.2966,0.3291,0.3762,0.4109,0.4626,0.4975,0.5244,0.5321,0.5368,0.5736,0.6374,0.0435,0.0813,0.133,0.1778,0.2215,0.2717,0.2993,0.3454,0.3897,0.4287,0.5233,0.6309,0.683,0.7168,0.7437
2,TM000157,1,1,1.9167,480,0.51,8420.287589,9567.838887,8994.063238,0.384218289,0.862831858,270,0.397714707,0.845189827,0.390966498,0.862831858,0.012168142,0.046828909,0.081489676,0.109144543,0.142699115,0.178834808,0.206858407,0.224188791,0.25,0.277286136,0.31120944,0.321533923,0.341076696,0.368731563,0.384218289,0,0.043862882,0.075562108,0.106892739,0.131957243,0.165130851,0.194249908,0.245484703,0.275340951,0.296719499,0.323258386,0.349060081,0.363803907,0.377441946,0.397714707,0.044985251,0.096976401,0.158185841,0.21460177,0.276179941,0.330752212,0.385693215,0.447640118,0.507743363,0.568952802,0.622787611,0.674410029,0.734144543,0.796828909,0.862831858,0.033542204,0.097309252,0.157390343,0.217471434,0.267231847,0.31183192,0.369701438,0.431256911,0.484334685,0.545890158,0.60081091,0.661629193,0.723184666,0.788794692,0.845189827,0.0268,0.0837,0.1476,0.209,0.2741,0.3375,0.3906,0.4175,0.4737,0.5113,0.5793,0.5853,0.6283,0.6771,0.702,0,0.0785,0.1144,0.1527,0.179,0.1907,0.2523,0.366,0.4465,0.4866,0.5326,0.5663,0.5863,0.6185,0.6701
2,TM000133,1,1,2.5,370,0.61,8148.143361,8454.912914,8301.528138,0.385324484,0.858038348,410,0.387536873,0.849557522,0.386430679,0.858038348,0.026917404,0.064896755,0.088495575,0.104351032,0.125368732,0.164454277,0.187684366,0.205014749,0.213495575,0.243731563,0.267699115,0.29719764,0.330752212,0.362831858,0.385324484,0.019911504,0.05199115,0.074852507,0.106563422,0.126843658,0.151548673,0.169247788,0.186946903,0.223082596,0.257374631,0.291666667,0.318584071,0.341076696,0.366150442,0.387536873,0.05899705,0.120575221,0.174778761,0.234882006,0.283923304,0.342551622,0.40339233,0.450221239,0.508112094,0.566371681,0.625368732,0.679941003,0.732669617,0.794985251,0.858038348,0.053097345,0.108038348,0.163716814,0.213495575,0.274705015,0.333702065,0.37979351,0.428097345,0.483775811,0.544247788,0.603982301,0.666666667,0.727507375,0.784292035,0.849557522,0.0521,0.1163,0.1509,0.1798,0.208,0.275,0.3067,0.346,0.3591,0.4183,0.4514,0.4947,0.5739,0.6226,0.6663,0.031,0.0861,0.1184,0.1566,0.1992,0.2455,0.2697,0.3036,0.3714,0.4336,0.4785,0.53,0.5831,0.6485,0.6975
1,TM000136,0,2,1.75,390,0.44,9825.500792,7954.314934,8889.907863,0.403761062,0.87979351,350,0.343657817,0.757743363,0.37370944,0.87979351,0.042035398,0.088126844,0.133112094,0.154498525,0.193215339,0.217551622,0.248525074,0.264749263,0.289085546,0.307153392,0.334070796,0.350294985,0.367625369,0.378687316,0.403761062,0.003687316,0.031710914,0.053097345,0.075221239,0.111725664,0.136061947,0.169616519,0.195058997,0.207964602,0.222713864,0.254424779,0.280973451,0.305678466,0.327064897,0.343657817,0.060103245,0.121681416,0.181784661,0.237094395,0.29719764,0.35840708,0.42219764,0.477507375,0.537241888,0.595870206,0.655973451,0.71460177,0.762905605,0.810103245,0.87979351,0.035029499,0.067477876,0.106563422,0.158554572,0.209070796,0.257374631,0.310840708,0.365781711,0.414823009,0.474188791,0.533554572,0.591076696,0.653023599,0.717182891,0.757743363,0.1314,0.2286,0.3199,0.3602,0.4462,0.4805,0.5207,0.5261,0.5671,0.5761,0.6121,0.6459,0.667,0.6957,0.7423,0.0076,0.0755,0.0987,0.1343,0.1937,0.2411,0.3131,0.3506,0.3751,0.4217,0.475,0.5028,0.5307,0.5824,0.6119
2,TM000149,1,1,1.3333,370,0.38,9356.73124,7497.153462,8426.942351,0.361529974,0.826038985,430,0.359513274,0.823377581,0.360521624,0.826038985,0.03236484,0.083486576,0.132769401,0.177638838,0.196027951,0.212578154,0.23464509,0.271055535,0.280617874,0.289812431,0.309304892,0.324383965,0.332842957,0.344244207,0.361529974,0.022861357,0.066740413,0.115044248,0.145280236,0.182153392,0.205383481,0.234144543,0.251474926,0.28060472,0.29719764,0.305678466,0.311946903,0.330014749,0.344026549,0.359513274,0.055535123,0.116219198,0.175799926,0.233173961,0.275836705,0.324383965,0.384332475,0.44170651,0.503493932,0.551305627,0.60684075,0.654652446,0.70393527,0.765722692,0.826038985,0.051622419,0.109513274,0.165929204,0.227876106,0.283185841,0.326696165,0.380530973,0.436578171,0.494469027,0.550516224,0.608775811,0.644542773,0.694690265,0.756268437,0.823377581,0.0839,0.1647,0.278,0.3637,0.4139,0.4493,0.4893,0.5271,0.5361,0.5391,0.5654,0.5866,0.6006,0.6216,0.6488,0.0509,0.1277,0.2188,0.2717,0.3456,0.3888,0.443,0.4625,0.5197,0.5597,0.579,0.5949,0.6335,0.6664,0.7038
2,TM000143,1,1,1.25,410,0.42,8741.647978,8169.236724,8455.442351,0.342551622,0.833702065,400,0.377581121,0.883480826,0.360066372,0.833702065,0.022123894,0.048672566,0.07300885,0.10840708,0.12979351,0.150811209,0.174041298,0.183628319,0.196902655,0.221238938,0.249631268,0.264749263,0.290560472,0.31120944,0.342551622,0.019174041,0.041666667,0.080383481,0.11320059,0.143067847,0.175147493,0.207227139,0.242625369,0.264011799,0.283185841,0.289085546,0.309365782,0.326327434,0.342920354,0.377581121,0.056784661,0.115412979,0.169616519,0.227138643,0.28539823,0.338495575,0.398967552,0.455014749,0.512168142,0.568215339,0.62020649,0.661873156,0.711651917,0.765486726,0.833702065,0.056047198,0.111356932,0.170353982,0.225663717,0.283923304,0.340339233,0.401179941,0.463495575,0.523230088,0.571165192,0.627949853,0.684734513,0.750368732,0.815634218,0.883480826,0.0607,0.1095,0.1547,0.2374,0.2753,0.3184,0.3734,0.3898,0.4143,0.4508,0.5038,0.5246,0.5614,0.6023,0.6834,0.0397,0.074,0.1567,0.23,0.2867,0.3397,0.4003,0.4693,0.5049,0.5226,0.5259,0.5613,0.5974,0.6079,0.6588
1,TM000107,0,2,2.0833,340,0.58,8076.741341,8337.268253,8207.004797,0.346961326,0.790423573,260,0.347713864,0.793510324,0.347337595,0.790423573,0.036095764,0.074769797,0.099815838,0.122651934,0.157642726,0.1893186,0.216574586,0.232780847,0.267034991,0.294290976,0.308655617,0.320441989,0.326335175,0.328913444,0.346961326,0.019542773,0.058259587,0.088495575,0.121312684,0.152654867,0.163348083,0.183628319,0.209439528,0.240781711,0.275811209,0.297935103,0.307890855,0.32780236,0.344764012,0.347713864,0.050828729,0.088766114,0.127071823,0.182320442,0.239779006,0.299447514,0.345119705,0.384898711,0.446777164,0.507918969,0.560957643,0.603683241,0.664825046,0.724493554,0.790423573,0.050147493,0.105825959,0.158185841,0.211651917,0.267330383,0.301622419,0.355825959,0.417772861,0.477876106,0.538716814,0.595132743,0.643067847,0.697271386,0.751106195,0.793510324,0.0603,0.1247,0.1924,0.239,0.3042,0.3491,0.3914,0.4121,0.5008,0.5678,0.5958,0.6232,0.6391,0.6396,0.6712,0.0484,0.1505,0.2142,0.2879,0.3418,0.3427,0.3973,0.4708,0.517,0.5735,0.6101,0.6156,0.6375,0.6562,0.6626
1,TM000124,1,1,1.8333,360,0.46,9196.701802,10396.40743,9796.554616,0.357169185,0.862513822,410,0.369100295,0.873156342,0.36313474,0.862513822,0.029119056,0.063767048,0.096940656,0.121636565,0.145963878,0.164762256,0.185772208,0.206413564,0.223368964,0.255436786,0.272392186,0.290821968,0.304091412,0.335053446,0.357169185,0.03060472,0.07300885,0.108038348,0.119100295,0.147861357,0.183259587,0.200958702,0.218289086,0.236725664,0.248525074,0.271386431,0.288348083,0.322271386,0.338126844,0.369100295,0.053814965,0.110947291,0.165868043,0.224474751,0.276078142,0.338370807,0.401032068,0.458901585,0.516033911,0.572797641,0.62882418,0.683744932,0.743088832,0.803907114,0.862513822,0.056784661,0.116150442,0.176253687,0.22160767,0.265855457,0.328539823,0.387536873,0.450589971,0.514011799,0.576696165,0.635693215,0.685840708,0.748525074,0.809734513,0.873156342,0.0646,0.1288,0.1835,0.2182,0.2714,0.3146,0.3337,0.3653,0.3956,0.4562,0.4973,0.5274,0.5566,0.5802,0.6133,0.071,0.1531,0.2087,0.2275,0.2983,0.3851,0.415,0.4269,0.4363,0.4522,0.4934,0.5319,0.6247,0.6567,0.7189
1,TM000145,1,1,2,420,0.49,8599.547473,11658.85822,10129.20285,0.44902466,0.83437615,270,0.377581121,0.909292035,0.413302891,0.83437615,0.031284505,0.065145381,0.099742363,0.13617961,0.173721016,0.200956938,0.237026132,0.265366213,0.273463379,0.291866029,0.313213103,0.341921237,0.361796099,0.406698565,0.44902466,0.041666667,0.071165192,0.086283186,0.107669617,0.125,0.156342183,0.175516224,0.20280236,0.226769912,0.251843658,0.28060472,0.309365782,0.32780236,0.349926254,0.377581121,0.059992639,0.112992271,0.166359956,0.228928966,0.290393817,0.323150534,0.365476629,0.415531837,0.472211999,0.527419948,0.581891792,0.641516378,0.705925653,0.768494663,0.83437615,0.062315634,0.122787611,0.182522124,0.2429941,0.298672566,0.355088496,0.419985251,0.485619469,0.54719764,0.610619469,0.671091445,0.726032448,0.779867257,0.846238938,0.909292035,0.0794,0.1367,0.1805,0.2497,0.3279,0.3642,0.3743,0.4085,0.4122,0.4483,0.4781,0.5232,0.5557,0.6473,0.7372,0.1189,0.1593,0.1791,0.2176,0.2529,0.2983,0.3182,0.3309,0.3562,0.3876,0.4223,0.4406,0.4825,0.5396,0.5916
1,TM000129,0,2,2.0833,370,0.48,7497.444876,8994.998267,8246.221572,0.32780236,0.750737463,400,0.338739403,0.830446001,0.333270882,0.750737463,0.026548673,0.060840708,0.100294985,0.146017699,0.160766962,0.187315634,0.210176991,0.223820059,0.25479351,0.268067847,0.268067847,0.278761062,0.290560472,0.319690265,0.32780236,0.033173609,0.063767048,0.107998526,0.140066347,0.159970512,0.176925912,0.20678216,0.229266495,0.244747512,0.266494655,0.276446738,0.28897899,0.30593439,0.316623664,0.338739403,0.05899705,0.116519174,0.175147493,0.23340708,0.274705015,0.327433628,0.370943953,0.406710914,0.448746313,0.489675516,0.52359882,0.571902655,0.621312684,0.685471976,0.750737463,0.055289348,0.10762993,0.162919278,0.218577221,0.275709547,0.330630299,0.385182455,0.443051972,0.500184298,0.549207519,0.607445632,0.650939919,0.706229266,0.765941762,0.830446001,0.0443,0.1241,0.1967,0.2748,0.2965,0.3373,0.3997,0.4194,0.4876,0.5185,0.5185,0.5312,0.5635,0.6161,0.6269,0.0837,0.1468,0.2434,0.3225,0.3473,0.3609,0.428,0.4643,0.4912,0.5225,0.5346,0.5605,0.6212,0.6337,0.6747
2,TM000160,0,2,1.4167,370,0.48,8828.73629,7362.202236,8095.469263,0.35840708,0.762536873,320,0.319321534,0.733038348,0.338864307,0.762536873,0,0,0.031710914,0.08259587,0.118362832,0.130530973,0.169985251,0.201327434,0.217920354,0.240412979,0.256268437,0.286873156,0.322271386,0.33480826,0.35840708,0.016961652,0.056415929,0.077433628,0.098820059,0.117256637,0.147492625,0.171091445,0.209439528,0.22160767,0.244100295,0.274705015,0.287610619,0.296828909,0.307890855,0.319321534,0.005899705,0.005899705,0.060840708,0.120575221,0.176253687,0.22640118,0.286504425,0.346238938,0.404129794,0.467182891,0.526548673,0.58480826,0.640855457,0.697271386,0.762536873,0.044616519,0.102876106,0.155235988,0.207227139,0.242625369,0.292772861,0.345870206,0.398230088,0.45759587,0.511430678,0.566371681,0.606563422,0.644911504,0.684734513,0.733038348,0,0,0.0776,0.1921,0.2528,0.2723,0.3425,0.3894,0.4184,0.4721,0.5128,0.579,0.6337,0.6465,0.6729,0.054,0.1365,0.1806,0.2194,0.248,0.3104,0.3505,0.422,0.4436,0.4958,0.5667,0.5804,0.5928,0.6082,0.6286
